Tên Món,Loại Món,Nguyên Liệu Chính,Cách Chế Biến,Chi Phí Dự Báo 2026 (VND),Calo Ước Tính (cho 1 suất)
Bông cải xanh xào tỏi/thịt,Món xào,"- Bông cải: 400g
- Tỏi: 30g hoặc thịt bò: 200g","1. Sơ chế: Bông cải chần sơ.
2. Xào: Nếu có thịt → xào thịt tái, vớt ra. Xào tỏi, cho bông cải vào.
3. Nêm: Nêm nước mắm, tiêu.",~130.000 (chay) / ~170.000 (có thịt),~150 kcal / ~250 kcal
Mướp đắng xào trứng,Món xào,"- Khổ qua: 300g
- Trứng: 3 quả
- Hành, tiêu","1. Sơ chế: Khổ qua bỏ ruột, thái lát mỏng, ngâm muối.
2. Xào: Xào khổ qua 2 phút, vớt ra. Đánh trứng, cho vào xào chín.
3. Trộn: Cho khổ qua vào, nêm gia vị.",~80.000,~180 kcal
Nấm các loại xào,Món xào,"- Nấm (rơm, đùi gà, đông cô): 400g
- Hành, tỏi, nước tương","1. Sơ chế: Nấm ngâm, rửa sạch.
2. Xào: Phi thơm hành tỏi, cho nấm vào xào.
3. Nêm: Nêm nước tương, tiêu.",~110.000,~140 kcal
Đậu que xào thịt,Món xào,"- Đậu que: 300g
- Thịt heo/bò: 200g","1. Sơ chế: Đậu chần sơ. Thịt ướp.
2. Xào: Xào thịt săn, vớt ra. Xào đậu 2 phút.
3. Trộn: Cho thịt vào, nêm gia vị.",~145.000,~240 kcal
Cải thìa/xà lách xoong xào tỏi,Món xào,"- Cải thìa: 500g
- Tỏi: 30g","1. Sơ chế: Rau rửa sạch.
2. Xào: Phi tỏi, cho rau vào xào lửa lớn.
3. Nêm: Nêm nước mắm, tiêu.",~60.000,~100 kcal
Su su xào thịt,Món xào,"- Su su: 400g
- Thịt heo: 200g","1. Sơ chế: Su su gọt vỏ, thái mỏng. Thịt ướp.
2. Xào: Xào thịt săn, vớt ra. Xào su su 3–4 phút.
3. Trộn: Cho thịt vào, nêm gia vị.",~130.000,~220 kcal
"Cà rốt, su hào xào",Món xào,"- Cà rốt + su hào: 500g
- Tỏi, hành lá","1. Sơ chế: Cắt sợi mỏng.
2. Xào: Phi tỏi, cho rau củ vào xào nhanh.
3. Nêm: Nêm nước mắm, tiêu.",~70.000,~130 kcal
Thịt bằm xào cà chua,Món xào,"- Thịt heo xay: 300g
- Cà chua: 3 quả
- Hành, tỏi","1. Sơ chế: Cà chua thái hạt lựu.
2. Xào: Xào thịt săn, cho cà chua vào rim 5–7 phút.
3. Nêm: Nêm đường, nước mắm, tiêu.",~120.000,~260 kcal
Bò lúc lắc,Món xào,"- Thịt bò nạc: 400g
- Hành tây, ớt chuông
- Nước tương, dầu hào, đường","1. Sơ chế: Bò cắt khối vuông, ướp với dầu hào, nước tương, đường.
2. Xào: Xào bò lửa lớn 2–3 phút, vớt ra.
3. Xào rau: Xào hành tây + ớt 2 phút.
4. Trộn: Cho bò vào, đảo đều.",~210.000,~320 kcal
Cơm chiên Dương Châu,Món xào,"- Cơm nguội: 4 chén
- Trứng: 2 quả
- Tôm, lạp xưởng, cà rốt, đậu Hà Lan: 300g tổng","1. Sơ chế: Nguyên liệu cắt hạt lựu.
2. Xào: Xào trứng, vớt ra. Xào nguyên liệu, cho cơm vào.
3. Nêm: Nêm nước mắm, tiêu, cho trứng vào trộn đều.",~180.000,~450 kcal
Mì xào,Món xào,"- Mì trứng: 400g
- Thịt, tôm, rau củ: 400g tổng","1. Sơ chế: Mì luộc sơ, xốc dầu. Nguyên liệu ướp.
2. Xào: Xào thịt/tôm, cho rau củ, cho mì vào.
3. Nêm: Nêm dầu hào, nước tương, tiêu.",~190.000,~480 kcal
Hủ tiếu xào,Món xào,"- Hủ tiếu khô: 400g
- Thịt, tôm, giá, hẹ: 400g tổng","1. Sơ chế: Hủ tiếu ngâm mềm, để ráo.
2. Xào: Xào thịt/tôm, cho rau, cho hủ tiếu vào.
3. Nêm: Nêm nước tương, dầu hào.",~200.000,~470 kcal
Bún xào,Món xào,"- Bún tươi: 500g
- Thịt, tôm, giá, hẹ, trứng","1. Sơ chế: Bún để ráo. Trứng tráng mỏng, cắt sợi.
2. Xào: Xào thịt/tôm, cho rau, cho bún vào.
3. Nêm: Nêm nước mắm, tiêu.",~195.000,~460 kcal
Miến xào,Món xào,"- Miến dong: 200g (khô)
- Thịt, nấm, cà rốt, hành lá","1. Sơ chế: Miến ngâm mềm, cắt ngắn.
2. Xào: Xào thịt, nấm, rau củ.
3. Cho miến: Cho miến vào, nêm nước tương, tiêu.",~150.000,~400 kcal
Bánh phở xào,Món xào,"- Bánh phở tươi: 500g
- Thịt bò, giá, hẹ, hành tây","1. Sơ chế: Bánh phở để ráo.
2. Xào: Xào bò tái, vớt ra. Xào rau, cho bánh phở vào.
3. Nêm: Nêm dầu hào, nước tương.",~185.000,~440 kcal
Bò xào lá lốt,Món xào,"- Thịt bò: 300g
- Lá lốt: 100g
- Tỏi, sả","1. Sơ chế: Bò ướp. Lá lốt thái sợi.
2. Xào: Xào bò tái, vớt ra. Xào lá lốt 1 phút.
3. Trộn: Cho bò vào, nêm gia vị.",~175.000,~260 kcal
Ngao xào cay,Món xào,"- Ngao: 600g
- Ớt, sả, tỏi, hành lá","1. Sơ chế: Ngao ngâm, rửa sạch.
2. Xào: Phi sả + tỏi + ớt, cho ngao vào xào.
3. Nêm: Nêm nước mắm, đường, tiêu. Xào đến khi ngao há miệng.",~160.000,~200 kcal
Ốc xào me/sả ớt,Món xào,"- Ốc bươu/ốc len: 500g
- Me, sả, ớt, tỏi","1. Sơ chế: Ốc làm sạch, luộc sơ.
2. Sốt: Nấu me chín, lọc lấy nước. Xào sả + tỏi + ớt.
3. Xào: Cho ốc + nước me vào, rim 5 phút.",~170.000,~220 kcal
Lòng gà xào mướp,Món xào,"- Lòng gà: 400g
- Mướp hương: 300g
- Hành, tỏi","1. Sơ chế: Lòng gà làm sạch, ướp. Mướp gọt, cắt miếng.
2. Xào: Xào lòng gà săn, vớt ra. Xào mướp 2 phút.
3. Trộn: Cho lòng gà vào, nêm gia vị.",~150.000,~250 kcal
Sườn non xào chua ngọt,Món xào,"- Sườn non: 500g
- Cà chua, dứa, ớt chuông","1. Sơ chế: Sườn ướp, chiên sơ.
2. Sốt: Xào cà chua + dứa, nêm giấm, đường, nước mắm.
3. Xào: Cho sườn vào rim 5–7 phút cho thấm.",~220.000,~420 kcal
Canh rau ngót thịt bằm,Canh,"- Rau ngót: 300g
- Thịt heo xay: 200g
- Hành tím, nước mắm, tiêu","1. Sơ chế: Rau ngót vò nát, rửa sạch. Thịt ướp hành, nước mắm.
2. Nấu: Đun sôi nước, cho thịt vào quấy đều.
3. Cho rau: Khi nước sôi lại, cho rau ngót vào, đun 2–3 phút.
4. Nêm: Nêm nước mắm, tiêu, tắt bếp.",~90.000,~150 kcal
Canh mồng tơi nấu tôm/cua,Canh,"- Mồng tơi: 300g
- Tôm sú hoặc cua đồng: 200g
- Hành, tỏi","1. Sơ chế: Tôm bóc vỏ, giã sơ. Cua giã lấy gạch và nước.
2. Nấu: Cho nước vào nồi, cho tôm/cua vào nấu sôi.
3. Cho rau: Cho mồng tơi vào, đun 2 phút.
4. Nêm: Nêm nước mắm, tiêu.",~120.000 (tôm) / ~100.000 (cua),~140 kcal
Canh bầu/bí nấu tôm,Canh,"- Bầu/bí: 400g
- Tôm sú: 200g
- Hành lá, nước mắm","1. Sơ chế: Bầu gọt vỏ, cắt miếng. Tôm giã dập.
2. Nấu: Xào tôm thơm, đổ nước vào đun sôi.
3. Cho bầu: Cho bầu vào, nấu 5–7 phút.
4. Nêm: Nêm nước mắm, hành lá.",~110.000,~130 kcal
Canh khổ qua nhồi thịt,Canh,"- Khổ qua: 4 trái (~300g)
- Thịt heo xay: 250g
- Nấm mèo, hành, nước dùng","1. Sơ chế: Khổ qua bỏ ruột, nhồi thịt đã trộn với nấm mèo, hành.
2. Nấu: Đun sôi nước dùng, cho khổ qua vào.
3. Hầm: Nấu 15–20 phút cho chín mềm.
4. Nêm: Nêm nước mắm, tiêu.",~140.000,~180 kcal
Canh chua cá lóc/cá bông lau,Canh,"- Cá lóc/bông lau: 500g
- Dọc mùng, đậu bắp, cà chua, me, rau thơm","1. Sơ chế: Cá làm sạch, cắt khúc. Me dầm lấy nước.
2. Xào: Xào cà chua, dọc mùng, đậu bắp.
3. Nấu: Đổ nước + nước me vào, cho cá vào nấu 10 phút.
4. Hoàn thiện: Cho rau om, ngò gai, ớt.",~180.000,~200 kcal
Canh chua đầu cá hồi,Canh,"- Đầu cá hồi: 1 cái (~400g)
- Cà chua, dứa, me, rau thơm","1. Sơ chế: Đầu cá làm sạch, chiên sơ.
2. Xào: Xào cà chua + dứa thơm.
3. Nấu: Đổ nước + nước me vào, cho đầu cá vào nấu 10–12 phút.
4. Nêm: Cho rau thơm, ớt.",~220.000,~250 kcal
Canh chua tôm,Canh,"- Tôm sú: 300g
- Dọc mùng, đậu bắp, cà chua, me, bạc hà","1. Sơ chế: Tôm bóc vỏ, để nguyên đuôi.
2. Xào: Xào cà chua, dọc mùng, đậu bắp.
3. Nấu: Đổ nước + nước me vào, cho tôm vào nấu 5–7 phút.
4. Hoàn thiện: Cho rau thơm, ớt.",~160.000,~160 kcal
Canh cá nấu ngót/dọc mùng,Canh,"- Cá lóc/thác lác: 400g
- Rau ngót/dọc mùng: 200g
- Cà chua, me","1. Sơ chế: Cá làm sạch. Rau ngót vò, dọc mùng bào sợi.
2. Xào: Xào cà chua, cho cá vào xào sơ.
3. Nấu: Đổ nước vào, nấu 10 phút, cho rau vào.
4. Nêm: Nêm nước mắm, me.",~150.000,~170 kcal
Canh cua rau đay/mồng tơi,Canh,"- Cua đồng: 300g
- Rau đay/mồng tơi: 300g
- Mướp hương: 100g","1. Sơ chế: Cua giã, lọc lấy nước. Rau rửa sạch.
2. Nấu: Đun sôi nước cua, vớt gạch.
3. Cho rau: Cho rau + mướp vào, nấu 5 phút.
4. Hoàn thiện: Cho gạch cua lên mặt, nêm muối.",~110.000,~120 kcal
Canh cua mướp,Canh,"- Cua đồng: 300g
- Mướp hương: 300g
- Hành lá","1. Sơ chế: Cua giã, lọc. Mướp gọt, cắt miếng.
2. Nấu: Đun sôi nước cua, cho mướp vào.
3. Nêm: Nêm muối, cho gạch cua lên trên.",~100.000,~110 kcal
Canh hến nấu chua,Canh,"- Hến: 500g
- Cà chua, me, dọc mùng, rau răm","1. Sơ chế: Hến ngâm, luộc lấy nước và thịt.
2. Xào: Xào cà chua, dọc mùng.
3. Nấu: Đổ nước hến + nước me vào, cho thịt hến vào.
4. Hoàn thiện: Cho rau răm, ớt.",~130.000,~140 kcal
Canh riêu cua,Canh,"- Cua đồng: 400g
- Cà chua, đậu phụ, hành lá","1. Sơ chế: Cua giã, lọc. Đậu chiên vàng.
2. Riêu: Đun nước cua, khuấy nhẹ để riêu nổi.
3. Xào: Xào cà chua, cho vào nồi.
4. Hoàn thiện: Cho đậu, hành, nêm muối.",~140.000,~160 kcal
Canh sườn non nấu bí/củ quả,Canh,"- Sườn non: 400g
- Bí đỏ/khoai tây/cà rốt: 300g","1. Sơ chế: Sườn chần sơ. Bí/củ cắt miếng.
2. Nấu: Hầm sườn 30 phút, cho củ vào nấu thêm 15 phút.
3. Nêm: Nêm nước mắm, tiêu.",~160.000,~220 kcal
Canh sườn nấu chua,Canh,"- Sườn non: 400g
- Me, dọc mùng, cà chua, đậu bắp","1. Sơ chế: Sườn chần. Rau củ cắt vừa.
2. Xào: Xào cà chua, dọc mùng.
3. Nấu: Hầm sườn 20 phút, cho rau + nước me vào.
4. Hoàn thiện: Nêm gia vị, cho rau thơm.",~170.000,~230 kcal
Canh sườn nấu khoai tây/cà rốt,Canh,"- Sườn non: 400g
- Khoai tây, cà rốt: 300g tổng","1. Sơ chế: Sườn chần. Củ cắt khối.
2. Nấu: Hầm sườn 30 phút, cho củ vào nấu 15 phút.
3. Nêm: Nêm nước mắm, tiêu.",~155.000,~210 kcal
Canh gà nấm/nấu thuốc bắc,Canh,"- Gà ta: 500g
- Nấm đông cô: 100g
- Thuốc bắc (kỷ tử, táo đỏ, hoài sơn): 30g","1. Sơ chế: Gà chặt miếng, chần. Nấm ngâm.
2. Hầm: Cho gà + thuốc bắc vào hầm 45–60 phút.
3. Cho nấm: Cho nấm vào nấu 10 phút.
4. Nêm: Nêm ít muối.",~250.000,~280 kcal
Canh trứng cà chua,Canh,"- Trứng: 3 quả
- Cà chua: 3 quả
- Hành lá, nước mắm","1. Sơ chế: Cà chua thái múi. Trứng đánh tan.
2. Xào: Xào cà chua chín mềm.
3. Nấu: Đổ nước vào, đun sôi, từ từ đổ trứng vào.
4. Nêm: Nêm nước mắm, hành lá.",~70.000,~150 kcal
Canh đậu hũ non nấu nấm,Canh,"- Đậu hũ non: 200g
- Nấm rơm/đùi gà: 150g
- Hành lá, nước dùng","1. Sơ chế: Đậu cắt khối. Nấm ngâm, rửa.
2. Nấu: Đun sôi nước dùng, cho nấm vào nấu 5 phút.
3. Cho đậu: Cho đậu hũ vào, nấu 3 phút.
4. Nêm: Nêm nước tương, tiêu.",~100.000,~130 kcal
