id,title,readyInMinutes,healthScore,type,ingredients,instructions,isLocal,cost,calories
"vn_11","Tôm kho thịt ba chỉ",45,62,"kho","Tôm sú; Thịt ba chỉ; Hành; Tỏi; Nước mắm; Đường","1. Ướp thịt ba chỉ. 2. Xào thịt ba chỉ cho chín tới. 3. Cho tôm vào nồi cùng kho với lửa nhỏ liu riu khoảng 20-25 phút cho tôm chín.",true,"~420.000","~480 kcal"
"vn_12","Mực kho tỏi sả",45,86,"kho","Mực ống; Tỏi; Sả; Hành khô; Nước mắm; Đường","1. Làm sạch và để ráo mực. 2. Phi thơm tỏi, sả. 3. Kho mực với lửa nhỏ liu riu khoảng 15-20 phút cho mực chín.",true,"~430.000","~220 kcal"
"vn_13","Ba chỉ kho mắm ruốc",45,77,"kho","Thịt ba chỉ; Mắm ruốc; Hành; Tỏi; Đường; Nước mắm","1. Chần thịt sơ. 2. Xào thịt với mắm ruốc đã được làm se. 3. Kho với lửa nhỏ liu riu khoảng 45-60 phút cho đến khi thịt nhừ và thấm mắm ruốc.",true,"~300.000","~430 kcal"
"vn_14","Kho quẹt",45,65,"kho","Tôm khô; Cá khô; Tỏi; Hành tím; Ớt; Đường; Nước mắm; Mỡ gáy","1. Ngâm khô. 2. Phi thơm tỏi, hành tím. 3. Xào khô. 4. Cho hỗn hợp nước mắm+đường vào, đun sôi rồi hạ lửa nhỏ, khuấy liên tục cho đến khi sánh đặc.",true,"~250.000","~550 kcal (cho 50g)"
"vn_15","Lạc kho",45,77,"kho","Lạc (đậu phộng); Nước dừa; Đường; Muối","1. Luộc chín và tách vỏ lạc. 2. Kho lạc với nước dừa, đường, muối cho đến khi nước cạn, sánh lại và ngấm đều vào lạc.",true,"~150.000","~300 kcal (cho 50g)"
"vn_16","Đậu hũ kho nấm",45,71,"kho","Đậu hũ; Nấm rơm; Hành; Tỏi; Nước tương; Đường; Bột nêm","1. Chiên sơ đậu hũ. 2. Phi thơm nấm. 3. Kho đậu hũ với nước dùng (pha từ nước tương, đường, bột nêm) khoảng 15 phút cho thấm.",true,"~120.000","~180 kcal (cho 1kg)"
"vn_17","Thịt bò xào hành tây",20,70,"xao","Thịt bò nạc: 400g; Hành tây: 2 củ (~300g); Tỏi; hành tím: 30g; Dầu hào; nước mắm; đường; tiêu","1. Sơ chế: Thịt bò thái lát mỏng, ướp với 1 muỗng canh dầu hào, 1 thìa cà phê tỏi băm, ½ thìa cà phê đường, ½ thìa cà phê tiêu, để 15 phút. 2. Xào: Phi thơm hành tỏi, cho thịt bò vào xào lửa lớn 1–2 phút cho chín tái, vớt ra. 3. Xào rau: Cho hành tây vào xào nhanh 2–3 phút, nêm ít nước mắm. 4. Trộn lại: Cho thịt bò vào đảo đều, tắt bếp. Dùng nóng.",true,"~180.000","~280 kcal"
"vn_18","Thịt bò xào cần tỏi",20,79,"xao","Thịt bò: 400g; Cần tây: 300g; Tỏi: 30g; Dầu hào; nước mắm; tiêu","1. Sơ chế: Bò ướp như trên. Cần tây cắt khúc, rửa sạch. 2. Xào: Phi tỏi, xào bò tái, vớt ra. Xào cần tây 2 phút, nêm gia vị. 3. Kết hợp: Trộn bò vào, đảo nhanh, tắt bếp.",true,"~175.000","~270 kcal"
"vn_19","Thịt bò xào măng tây/nấm/ớt chuông",20,87,"xao","Thịt bò: 400g; Măng tây: 200g; Nấm đùi gà: 100g; Ớt chuông đỏ/vàng: 100g; Tỏi; dầu hào","1. Sơ chế: Bò ướp. Măng tây cắt khúc, chần sơ. Nấm, ớt chuông cắt lát. 2. Xào: Xào bò tái, vớt ra. Xào nấm + ớt + măng tây 2–3 phút. 3. Hoàn thiện: Trộn bò, nêm dầu hào, tiêu.",true,"~200.000","~290 kcal"
"vn_20","Thịt bò xào rau muống",20,67,"xao","Thịt bò: 300g; Rau muống: 500g; Tỏi: 40g; Dầu ăn; nước mắm","1. Sơ chế: Bò ướp nhẹ. Rau muống nhặt, rửa sạch. 2. Xào: Phi tỏi vàng, cho bò vào xào tái, vớt ra. 3. Xào rau: Cho rau vào xào lửa lớn, nêm nước mắm. 4. Trộn: Cho bò vào, đảo đều.",true,"~160.000","~250 kcal"
"vn_21","Thịt bò xào giá đỗ",20,92,"xao","Thịt bò: 300g; Giá đỗ: 400g; Hành lá; tỏi; ớt","1. Sơ chế: Bò ướp. Giá rửa sạch, để ráo. 2. Xào: Xào bò tái, vớt ra. Xào tỏi, cho giá vào xào nhanh 1–2 phút. 3. Kết hợp: Trộn bò, nêm nước mắm, tiêu.",true,"~150.000","~240 kcal"
"vn_22","Thịt bò xào thiên lý/súp lơ",20,91,"xao","Thịt bò: 400g; Hoa thiên lý hoặc súp lơ: 300g; Tỏi; dầu hào","1. Sơ chế: Thiên lý/súp lơ chần sơ. Bò ướp. 2. Xào: Xào bò tái, vớt ra. Xào rau 2 phút. 3. Trộn: Cho bò vào, nêm dầu hào, tiêu.",true,"~185.000","~275 kcal"
"vn_23","Thịt heo xào chua ngọt",20,70,"xao","Thịt nạc vai: 400g; Cà chua: 2 quả; Dứa: 100g; Hành tây; ớt; tỏi","1. Sơ chế: Thịt thái miếng, ướp với nước mắm, tiêu. 2. Xào: Xào thịt săn, vớt ra. 3. Sốt: Xào tỏi, cho dứa + cà chua + hành tây vào, nêm đường, giấm, nước mắm (tỷ lệ 2:1:1). 4. Hoàn thiện: Cho thịt vào, rim 2–3 phút.",true,"~170.000","~300 kcal"
"vn_24","Thịt heo xào nấm",20,81,"xao","Thịt heo: 300g; Nấm rơm/đông cô: 200g; Hành; tỏi; nước mắm","1. Sơ chế: Thịt ướp. Nấm ngâm, rửa sạch. 2. Xào: Xào thịt săn, vớt ra. Xào nấm 3 phút. 3. Trộn: Cho thịt vào, nêm gia vị, tiêu.",true,"~155.000","~260 kcal"
"vn_25","Thịt heo xào sả ớt",20,68,"xao","Thịt ba chỉ/nạc vai: 400g; Sả: 5 cây; Ớt; tỏi; nước mắm","1. Sơ chế: Thịt thái mỏng. Sả băm nhỏ. 2. Xào: Phi sả + tỏi + ớt thơm, cho thịt vào xào săn. 3. Nêm: Nêm nước mắm, đường, tiêu. Xào khô, dậy mùi.",true,"~165.000","~320 kcal"
"vn_26","Tôm xào thập cẩm",20,92,"xao","Tôm sú: 300g; Cà rốt; đậu Hà Lan; bắp non; nấm; ớt chuông: mỗi loại 50–100g","1. Sơ chế: Tôm bóc vỏ, ướp. Rau củ cắt hạt lựu, chần sơ. 2. Xào: Xào tôm tái, vớt ra. Xào rau củ 2 phút. 3. Trộn: Cho tôm vào, nêm dầu hào, tiêu.",true,"~220.000","~280 kcal"
"vn_27","Tôm xào măng",20,75,"xao","Tôm: 300g; Măng tươi: 200g; Hành; tỏi; ớt","1. Sơ chế: Măng luộc kỹ, xé sợi. Tôm ướp. 2. Xào: Xào tôm tái, vớt ra. Xào măng 3 phút. 3. Kết hợp: Trộn tôm, nêm nước mắm, tiêu.",true,"~200.000","~250 kcal"
"vn_28","Tôm xào hành tây",20,92,"xao","Tôm: 300g; Hành tây: 200g; Tỏi; tiêu; nước mắm","1. Sơ chế: Tôm ướp. Hành tây cắt múi cau. 2. Xào: Xào tôm tái, vớt ra. Xào hành tây 2 phút. 3. Trộn: Cho tôm vào, nêm gia vị.",true,"~190.000","~240 kcal"
"vn_29","Mực xào thập cẩm",20,68,"xao","Mực ống: 400g; Cà rốt; ớt chuông; hành tây; nấm: 300g tổng","1. Sơ chế: Mực làm sạch, khứa vảy rồng, chần sơ. Rau củ cắt vừa. 2. Xào: Xào mực 1–2 phút, vớt ra. Xào rau củ 2 phút. 3. Trộn: Cho mực vào, nêm dầu hào, tiêu.",true,"~230.000","~260 kcal"
"vn_30","Mực xào chua ngọt",20,80,"xao","Mực: 400g; Dứa; cà chua; dưa leo; ớt","1. Sơ chế: Mực chần sơ. Dứa, cà chua cắt miếng. 2. Xào: Xào mực tái, vớt ra. Xào sốt chua ngọt (giấm, đường, nước mắm). 3. Hoàn thiện: Cho mực + dứa vào, xào 2 phút.",true,"~225.000","~250 kcal"
"vn_31","Mực xào dứa/khóm",20,95,"xao","Mực: 400g; Dứa: 150g; Hành tây; ớt; tỏi","1. Sơ chế: Mực chần sơ. Dứa cắt miếng. 2. Xào: Xào mực tái, vớt ra. Xào dứa + hành tây. 3. Trộn: Cho mực vào, nêm nước mắm, tiêu.",true,"~220.000","~245 kcal"
"vn_32","Mực xào cần tỏi",20,84,"xao","Mực: 400g; Cần tây: 200g; Tỏi: 30g","1. Sơ chế: Mực chần sơ. Cần cắt khúc. 2. Xào: Xào mực 1–2 phút, vớt ra. Xào cần 2 phút. 3. Trộn: Cho mực vào, nêm gia vị.",true,"~215.000","~240 kcal"
"vn_33","Lươn xào sả ớt",20,93,"xao","Lươn đồng: 500g; Sả: 5 cây; Ớt; tỏi; nghệ","1. Sơ chế: Lươn làm sạch, ướp với nghệ, tiêu. 2. Xào: Phi sả + tỏi + ớt thơm, cho lươn vào xào săn. 3. Nêm: Nêm nước mắm, đường, tiêu. Xào khô, dậy mùi.",true,"~280.000","~350 kcal"
"vn_34","Gà xào sả ớt",20,67,"xao","Gà ta: 500g; Sả: 5 cây; Ớt; tỏi; chanh","1. Sơ chế: Gà chặt miếng nhỏ, ướp với sả băm, ớt, tiêu. 2. Xào: Xào gà săn, nêm nước mắm, đường. 3. Hoàn thiện: Vắt chanh trước khi tắt bếp.",true,"~200.000","~320 kcal"
"vn_35","Gà xào nấm",20,92,"xao","Gà: 400g; Nấm các loại: 200g; Hành; tỏi","1. Sơ chế: Gà ướp. Nấm ngâm, rửa sạch. 2. Xào: Xào gà săn, vớt ra. Xào nấm 3 phút. 3. Trộn: Cho gà vào, nêm nước mắm, tiêu.",true,"~190.000","~300 kcal"
"vn_36","Gà xào gừng",20,86,"xao","Gà: 500g; Gừng non: 50g; Hành; tỏi","1. Sơ chế: Gà ướp. Gừng thái sợi. 2. Xào: Xào gừng thơm, cho gà vào xào săn. 3. Nêm: Nêm nước mắm, đường, tiêu.",true,"~195.000","~310 kcal"
"vn_37","Tim, cật xào giá",20,88,"xao","Tim/cật heo: 300g; Giá đỗ: 300g; Hành tây; tỏi; ớt","1. Sơ chế: Tim/cật làm sạch, thái mỏng, ướp. Giá rửa sạch. 2. Xào: Xào tim/cật 2 phút, vớt ra. Xào giá 1–2 phút. 3. Trộn: Cho tim/cật vào, nêm gia vị.",true,"~180.000","~270 kcal"
"vn_38","Rau muống xào tỏi",20,64,"xao","Rau muống: 500g; Tỏi: 40g; Dầu ăn; nước mắm","1. Sơ chế: Rau nhặt, rửa sạch. 2. Xào: Phi tỏi vàng, cho rau vào xào lửa lớn. 3. Nêm: Nêm nước mắm, đảo nhanh, tắt bếp.",true,"~60.000","~120 kcal"
"vn_39","Rau muống xào chao",20,67,"xao","Rau muống: 500g; Chao: 2–3 viên; Tỏi; ớt","1. Sơ chế: Rau rửa sạch. Chao tán nhuyễn với chút nước. 2. Xào: Phi tỏi, cho chao vào, xào thơm. 3. Cho rau: Cho rau vào xào nhanh, nêm thêm nếu cần.",true,"~70.000","~130 kcal"
"vn_40","Rau lang xào tỏi",20,91,"xao","Rau lang: 500g; Tỏi: 30g","1. Sơ chế: Rau rửa sạch, để ráo. 2. Xào: Phi tỏi, cho rau vào xào lửa lớn. 3. Nêm: Nêm nước mắm, tiêu.",true,"~65.000","~110 kcal"
"vn_41","Giá đỗ xào thịt bò/heo",20,60,"xao","Giá: 400g; Thịt bò/heo: 200g; Hành; tỏi","1. Sơ chế: Thịt ướp. Giá rửa sạch. 2. Xào: Xào thịt tái, vớt ra. Xào giá 1–2 phút. 3. Trộn: Cho thịt vào, nêm gia vị.",true,"~140.000","~230 kcal"
"vn_42","Bông cải xanh xào tỏi/thịt",20,64,"xao","Bông cải: 400g; Tỏi: 30g hoặc thịt bò: 200g","1. Sơ chế: Bông cải chần sơ. 2. Xào: Nếu có thịt → xào thịt tái, vớt ra. Xào tỏi, cho bông cải vào. 3. Nêm: Nêm nước mắm, tiêu.",true,"~130.000 (chay) / ~170.000 (có thịt)","~150 kcal / ~250 kcal"
"vn_43","Mướp đắng xào trứng",20,79,"xao","Khổ qua: 300g; Trứng: 3 quả; Hành; tiêu","1. Sơ chế: Khổ qua bỏ ruột, thái lát mỏng, ngâm muối. 2. Xào: Xào khổ qua 2 phút, vớt ra. Đánh trứng, cho vào xào chín. 3. Trộn: Cho khổ qua vào, nêm gia vị.",true,"~80.000","~180 kcal"
"vn_44","Nấm các loại xào",20,79,"xao","Nấm (rơm; đùi gà; đông cô): 400g; Hành; tỏi; nước tương","1. Sơ chế: Nấm ngâm, rửa sạch. 2. Xào: Phi thơm hành tỏi, cho nấm vào xào. 3. Nêm: Nêm nước tương, tiêu.",true,"~110.000","~140 kcal"
"vn_45","Đậu que xào thịt",20,82,"xao","Đậu que: 300g; Thịt heo/bò: 200g","1. Sơ chế: Đậu chần sơ. Thịt ướp. 2. Xào: Xào thịt săn, vớt ra. Xào đậu 2 phút. 3. Trộn: Cho thịt vào, nêm gia vị.",true,"~145.000","~240 kcal"
"vn_46","Cải thìa/xà lách xoong xào tỏi",20,66,"xao","Cải thìa: 500g; Tỏi: 30g","1. Sơ chế: Rau rửa sạch. 2. Xào: Phi tỏi, cho rau vào xào lửa lớn. 3. Nêm: Nêm nước mắm, tiêu.",true,"~60.000","~100 kcal"
"vn_47","Su su xào thịt",20,77,"xao","Su su: 400g; Thịt heo: 200g","1. Sơ chế: Su su gọt vỏ, thái mỏng. Thịt ướp. 2. Xào: Xào thịt săn, vớt ra. Xào su su 3–4 phút. 3. Trộn: Cho thịt vào, nêm gia vị.",true,"~130.000","~220 kcal"
"vn_48","Cà rốt, su hào xào",20,89,"xao","Cà rốt + su hào: 500g; Tỏi; hành lá","1. Sơ chế: Cắt sợi mỏng. 2. Xào: Phi tỏi, cho rau củ vào xào nhanh. 3. Nêm: Nêm nước mắm, tiêu.",true,"~70.000","~130 kcal"
"vn_49","Thịt bằm xào cà chua",20,93,"xao","Thịt heo xay: 300g; Cà chua: 3 quả; Hành; tỏi","1. Sơ chế: Cà chua thái hạt lựu. 2. Xào: Xào thịt săn, cho cà chua vào rim 5–7 phút. 3. Nêm: Nêm đường, nước mắm, tiêu.",true,"~120.000","~260 kcal"
"vn_50","Bò lúc lắc",20,62,"xao","Thịt bò nạc: 400g; Hành tây; ớt chuông; Nước tương; dầu hào; đường","1. Sơ chế: Bò cắt khối vuông, ướp với dầu hào, nước tương, đường. 2. Xào: Xào bò lửa lớn 2–3 phút, vớt ra. 3. Xào rau: Xào hành tây + ớt 2 phút. 4. Trộn: Cho bò vào, đảo đều.",true,"~210.000","~320 kcal"
"vn_51","Cơm chiên Dương Châu",20,87,"xao","Cơm nguội: 4 chén; Trứng: 2 quả; Tôm; lạp xưởng; cà rốt; đậu Hà Lan: 300g tổng","1. Sơ chế: Nguyên liệu cắt hạt lựu. 2. Xào: Xào trứng, vớt ra. Xào nguyên liệu, cho cơm vào. 3. Nêm: Nêm nước mắm, tiêu, cho trứng vào trộn đều.",true,"~180.000","~450 kcal"
"vn_52","Mì xào",20,90,"xao","Mì trứng: 400g; Thịt; tôm; rau củ: 400g tổng","1. Sơ chế: Mì luộc sơ, xốc dầu. Nguyên liệu ướp. 2. Xào: Xào thịt/tôm, cho rau củ, cho mì vào. 3. Nêm: Nêm dầu hào, nước tương, tiêu.",true,"~190.000","~480 kcal"
"vn_53","Hủ tiếu xào",20,89,"xao","Hủ tiếu khô: 400g; Thịt; tôm; giá; hẹ: 400g tổng","1. Sơ chế: Hủ tiếu ngâm mềm, để ráo. 2. Xào: Xào thịt/tôm, cho rau, cho hủ tiếu vào. 3. Nêm: Nêm nước tương, dầu hào.",true,"~200.000","~470 kcal"
"vn_54","Bún xào",20,91,"xao","Bún tươi: 500g; Thịt; tôm; giá; hẹ; trứng","1. Sơ chế: Bún để ráo. Trứng tráng mỏng, cắt sợi. 2. Xào: Xào thịt/tôm, cho rau, cho bún vào. 3. Nêm: Nêm nước mắm, tiêu.",true,"~195.000","~460 kcal"
"vn_55","Miến xào",20,87,"xao","Miến dong: 200g (khô); Thịt; nấm; cà rốt; hành lá","1. Sơ chế: Miến ngâm mềm, cắt ngắn. 2. Xào: Xào thịt, nấm, rau củ. 3. Cho miến: Cho miến vào, nêm nước tương, tiêu.",true,"~150.000","~400 kcal"
"vn_56","Bánh phở xào",20,77,"xao","Bánh phở tươi: 500g; Thịt bò; giá; hẹ; hành tây","1. Sơ chế: Bánh phở để ráo. 2. Xào: Xào bò tái, vớt ra. Xào rau, cho bánh phở vào. 3. Nêm: Nêm dầu hào, nước tương.",true,"~185.000","~440 kcal"
"vn_57","Bò xào lá lốt",20,65,"xao","Thịt bò: 300g; Lá lốt: 100g; Tỏi; sả","1. Sơ chế: Bò ướp. Lá lốt thái sợi. 2. Xào: Xào bò tái, vớt ra. Xào lá lốt 1 phút. 3. Trộn: Cho bò vào, nêm gia vị.",true,"~175.000","~260 kcal"
"vn_58","Ngao xào cay",20,66,"xao","Ngao: 600g; Ớt; sả; tỏi; hành lá","1. Sơ chế: Ngao ngâm, rửa sạch. 2. Xào: Phi sả + tỏi + ớt, cho ngao vào xào. 3. Nêm: Nêm nước mắm, đường, tiêu. Xào đến khi ngao há miệng.",true,"~160.000","~200 kcal"
"vn_59","Ốc xào me/sả ớt",20,64,"xao","Ốc bươu/ốc len: 500g; Me; sả; ớt; tỏi","1. Sơ chế: Ốc làm sạch, luộc sơ. 2. Sốt: Nấu me chín, lọc lấy nước. Xào sả + tỏi + ớt. 3. Xào: Cho ốc + nước me vào, rim 5 phút.",true,"~170.000","~220 kcal"
"vn_60","Lòng gà xào mướp",20,82,"xao","Lòng gà: 400g; Mướp hương: 300g; Hành; tỏi","1. Sơ chế: Lòng gà làm sạch, ướp. Mướp gọt, cắt miếng. 2. Xào: Xào lòng gà săn, vớt ra. Xào mướp 2 phút. 3. Trộn: Cho lòng gà vào, nêm gia vị.",true,"~150.000","~250 kcal"
"vn_61","Sườn non xào chua ngọt",20,85,"xao","Sườn non: 500g; Cà chua; dứa; ớt chuông","1. Sơ chế: Sườn ướp, chiên sơ. 2. Sốt: Xào cà chua + dứa, nêm giấm, đường, nước mắm. 3. Xào: Cho sườn vào rim 5–7 phút cho thấm.",true,"~220.000","~420 kcal"
"vn_62","Canh rau ngót thịt bằm",30,66,"canh","Rau ngót: 300g; Thịt heo xay: 200g; Hành tím; nước mắm; tiêu","1. Sơ chế: Rau ngót vò nát, rửa sạch. Thịt ướp hành, nước mắm. 2. Nấu: Đun sôi nước, cho thịt vào quấy đều. 3. Cho rau: Khi nước sôi lại, cho rau ngót vào, đun 2–3 phút. 4. Nêm: Nêm nước mắm, tiêu, tắt bếp.",true,"~90.000","~150 kcal"
"vn_63","Canh mồng tơi nấu tôm/cua",30,90,"canh","Mồng tơi: 300g; Tôm sú hoặc cua đồng: 200g; Hành; tỏi","1. Sơ chế: Tôm bóc vỏ, giã sơ. Cua giã lấy gạch và nước. 2. Nấu: Cho nước vào nồi, cho tôm/cua vào nấu sôi. 3. Cho rau: Cho mồng tơi vào, đun 2 phút. 4. Nêm: Nêm nước mắm, tiêu.",true,"~120.000 (tôm) / ~100.000 (cua)","~140 kcal"
"vn_64","Canh bầu/bí nấu tôm",30,97,"canh","Bầu/bí: 400g; Tôm sú: 200g; Hành lá; nước mắm","1. Sơ chế: Bầu gọt vỏ, cắt miếng. Tôm giã dập. 2. Nấu: Xào tôm thơm, đổ nước vào đun sôi. 3. Cho bầu: Cho bầu vào, nấu 5–7 phút. 4. Nêm: Nêm nước mắm, hành lá.",true,"~110.000","~130 kcal"
"vn_65","Canh khổ qua nhồi thịt",30,70,"canh","Khổ qua: 4 trái (~300g); Thịt heo xay: 250g; Nấm mèo; hành; nước dùng","1. Sơ chế: Khổ qua bỏ ruột, nhồi thịt đã trộn với nấm mèo, hành. 2. Nấu: Đun sôi nước dùng, cho khổ qua vào. 3. Hầm: Nấu 15–20 phút cho chín mềm. 4. Nêm: Nêm nước mắm, tiêu.",true,"~140.000","~180 kcal"
"vn_66","Canh chua cá lóc/cá bông lau",30,80,"canh","Cá lóc/bông lau: 500g; Dọc mùng; đậu bắp; cà chua; me; rau thơm","1. Sơ chế: Cá làm sạch, cắt khúc. Me dầm lấy nước. 2. Xào: Xào cà chua, dọc mùng, đậu bắp. 3. Nấu: Đổ nước + nước me vào, cho cá vào nấu 10 phút. 4. Hoàn thiện: Cho rau om, ngò gai, ớt.",true,"~180.000","~200 kcal"
"vn_67","Canh chua đầu cá hồi",30,92,"canh","Đầu cá hồi: 1 cái (~400g); Cà chua; dứa; me; rau thơm","1. Sơ chế: Đầu cá làm sạch, chiên sơ. 2. Xào: Xào cà chua + dứa thơm. 3. Nấu: Đổ nước + nước me vào, cho đầu cá vào nấu 10–12 phút. 4. Nêm: Cho rau thơm, ớt.",true,"~220.000","~250 kcal"
"vn_68","Canh chua tôm",30,99,"canh","Tôm sú: 300g; Dọc mùng; đậu bắp; cà chua; me; bạc hà","1. Sơ chế: Tôm bóc vỏ, để nguyên đuôi. 2. Xào: Xào cà chua, dọc mùng, đậu bắp. 3. Nấu: Đổ nước + nước me vào, cho tôm vào nấu 5–7 phút. 4. Hoàn thiện: Cho rau thơm, ớt.",true,"~160.000","~160 kcal"
"vn_69","Canh cá nấu ngót/dọc mùng",30,85,"canh","Cá lóc/thác lác: 400g; Rau ngót/dọc mùng: 200g; Cà chua; me","1. Sơ chế: Cá làm sạch. Rau ngót vò, dọc mùng bào sợi. 2. Xào: Xào cà chua, cho cá vào xào sơ. 3. Nấu: Đổ nước vào, nấu 10 phút, cho rau vào. 4. Nêm: Nêm nước mắm, me.",true,"~150.000","~170 kcal"
"vn_70","Canh cua rau đay/mồng tơi",30,76,"canh","Cua đồng: 300g; Rau đay/mồng tơi: 300g; Mướp hương: 100g","1. Sơ chế: Cua giã, lọc lấy nước. Rau rửa sạch. 2. Nấu: Đun sôi nước cua, vớt gạch. 3. Cho rau: Cho rau + mướp vào, nấu 5 phút. 4. Hoàn thiện: Cho gạch cua lên mặt, nêm muối.",true,"~110.000","~120 kcal"
"vn_71","Canh cua mướp",30,71,"canh","Cua đồng: 300g; Mướp hương: 300g; Hành lá","1. Sơ chế: Cua giã, lọc. Mướp gọt, cắt miếng. 2. Nấu: Đun sôi nước cua, cho mướp vào. 3. Nêm: Nêm muối, cho gạch cua lên trên.",true,"~100.000","~110 kcal"
"vn_72","Canh hến nấu chua",30,70,"canh","Hến: 500g; Cà chua; me; dọc mùng; rau răm","1. Sơ chế: Hến ngâm, luộc lấy nước và thịt. 2. Xào: Xào cà chua, dọc mùng. 3. Nấu: Đổ nước hến + nước me vào, cho thịt hến vào. 4. Hoàn thiện: Cho rau răm, ớt.",true,"~130.000","~140 kcal"
"vn_73","Canh riêu cua",30,75,"canh","Cua đồng: 400g; Cà chua; đậu phụ; hành lá","1. Sơ chế: Cua giã, lọc. Đậu chiên vàng. 2. Riêu: Đun nước cua, khuấy nhẹ để riêu nổi. 3. Xào: Xào cà chua, cho vào nồi. 4. Hoàn thiện: Cho đậu, hành, nêm muối.",true,"~140.000","~160 kcal"
"vn_74","Canh sườn non nấu bí/củ quả",30,93,"canh","Sườn non: 400g; Bí đỏ/khoai tây/cà rốt: 300g","1. Sơ chế: Sườn chần sơ. Bí/củ cắt miếng. 2. Nấu: Hầm sườn 30 phút, cho củ vào nấu thêm 15 phút. 3. Nêm: Nêm nước mắm, tiêu.",true,"~160.000","~220 kcal"
"vn_75","Canh sườn nấu chua",30,75,"canh","Sườn non: 400g; Me; dọc mùng; cà chua; đậu bắp","1. Sơ chế: Sườn chần. Rau củ cắt vừa. 2. Xào: Xào cà chua, dọc mùng. 3. Nấu: Hầm sườn 20 phút, cho rau + nước me vào. 4. Hoàn thiện: Nêm gia vị, cho rau thơm.",true,"~170.000","~230 kcal"
"vn_76","Canh sườn nấu khoai tây/cà rốt",30,65,"canh","Sườn non: 400g; Khoai tây; cà rốt: 300g tổng","1. Sơ chế: Sườn chần. Củ cắt khối. 2. Nấu: Hầm sườn 30 phút, cho củ vào nấu 15 phút. 3. Nêm: Nêm nước mắm, tiêu.",true,"~155.000","~210 kcal"
